image,bbox
5293,"[np.float64(198.22), np.float64(192.8), np.float64(431.05), np.float64(343.15)]"
5293,"[np.float64(418.82), np.float64(180.28), np.float64(534.24), np.float64(260.04)]"
4828,"[np.float64(346.96), np.float64(184.98), np.float64(444.46), np.float64(241.36)]"
414,"[np.float64(429.86), np.float64(175.69), np.float64(656.81), np.float64(263.79)]"
446,"[np.float64(279.8), np.float64(187.2), np.float64(457.86), np.float64(290.93)]"
1013,"[np.float64(577.73), np.float64(172.48), np.float64(652.76), np.float64(240.82)]"
1013,"[np.float64(379.26), np.float64(179.16), np.float64(483.53), np.float64(248.94)]"
3131,"[np.float64(59.22), np.float64(200.1), np.float64(318.19), np.float64(320.85)]"
5236,"[np.float64(794.55), np.float64(184.06), np.float64(930.64), np.float64(237.17)]"
6031,"[np.float64(452.29), np.float64(182.0), np.float64(540.36), np.float64(252.67)]"
6031,"[np.float64(684.97), np.float64(185.87), np.float64(811.81), np.float64(279.87)]"
5272,"[np.float64(418.07), np.float64(169.61), np.float64(510.57), np.float64(242.03)]"
5400,"[np.float64(762.98), np.float64(190.42), np.float64(975.16), np.float64(321.77)]"
641,"[np.float64(569.09), np.float64(168.49), np.float64(635.71), np.float64(218.07)]"
641,"[np.float64(190.06), np.float64(211.67), np.float64(286.3), np.float64(273.1)]"
345,"[np.float64(569.9), np.float64(176.8), np.float64(622.56), np.float64(224.82)]"
2261,"[np.float64(574.99), np.float64(178.15), np.float64(629.64), np.float64(231.08)]"
5426,"[np.float64(691.14), np.float64(184.58), np.float64(775.79), np.float64(249.55)]"
6564,"[np.float64(268.02), np.float64(180.93), np.float64(402.56), np.float64(234.65)]"
1843,"[np.float64(560.49), np.float64(188.81), np.float64(617.32), np.float64(235.29)]"
1843,"[np.float64(784.69), np.float64(201.29), np.float64(1119.65), np.float64(374.0)]"
6752,"[np.float64(333.51), np.float64(179.97), np.float64(521.86), np.float64(308.85)]"
6752,"[np.float64(741.39), np.float64(166.54), np.float64(1035.98), np.float64(374.0)]"
3010,"[np.float64(299.59), np.float64(176.06), np.float64(527.06), np.float64(335.21)]"
3928,"[np.float64(490.6), np.float64(188.74), np.float64(553.02), np.float64(235.61)]"
2429,"[np.float64(853.57), np.float64(174.42), np.float64(1139.61), np.float64(272.88)]"
2380,"[np.float64(813.71), np.float64(166.58), np.float64(1078.66), np.float64(264.51)]"
7153,"[np.float64(127.81), np.float64(171.21), np.float64(452.9), np.float64(374.0)]"
7153,"[np.float64(508.19), np.float64(186.84), np.float64(591.36), np.float64(239.55)]"
7328,"[np.float64(785.48), np.float64(186.13), np.float64(965.96), np.float64(301.47)]"
4289,"[np.float64(0.0), np.float64(204.95), np.float64(277.59), np.float64(362.44)]"
