image,bbox
5766,"[np.float64(295.56), np.float64(174.11), np.float64(439.83), np.float64(233.84)]"
5766,"[np.float64(447.89), np.float64(180.92), np.float64(515.04), np.float64(207.72)]"
1281,"[np.float64(255.95), np.float64(185.86), np.float64(324.06), np.float64(220.03)]"
5293,"[np.float64(198.22), np.float64(192.8), np.float64(431.05), np.float64(343.15)]"
5293,"[np.float64(418.82), np.float64(180.28), np.float64(534.24), np.float64(260.04)]"
2669,"[np.float64(587.69), np.float64(189.71), np.float64(668.48), np.float64(218.13)]"
4828,"[np.float64(346.96), np.float64(184.98), np.float64(444.46), np.float64(241.36)]"
414,"[np.float64(429.86), np.float64(175.69), np.float64(656.81), np.float64(263.79)]"
446,"[np.float64(279.8), np.float64(187.2), np.float64(457.86), np.float64(290.93)]"
1013,"[np.float64(577.73), np.float64(172.48), np.float64(652.76), np.float64(240.82)]"
1013,"[np.float64(379.26), np.float64(179.16), np.float64(483.53), np.float64(248.94)]"
1013,"[np.float64(463.59), np.float64(181.3), np.float64(516.31), np.float64(217.21)]"
1013,"[np.float64(499.71), np.float64(179.79), np.float64(541.21), np.float64(208.96)]"
1013,"[np.float64(295.4), np.float64(183.27), np.float64(360.75), np.float64(217.64)]"
3131,"[np.float64(758.86), np.float64(175.27), np.float64(1031.27), np.float64(339.09)]"
3131,"[np.float64(59.22), np.float64(200.1), np.float64(318.19), np.float64(320.85)]"
3131,"[np.float64(323.46), np.float64(179.38), np.float64(435.88), np.float64(253.63)]"
3131,"[np.float64(461.92), np.float64(182.41), np.float64(508.69), np.float64(212.9)]"
5081,"[np.float64(599.11), np.float64(174.41), np.float64(627.46), np.float64(202.42)]"
5081,"[np.float64(293.12), np.float64(188.86), np.float64(383.2), np.float64(239.03)]"
519,"[np.float64(630.95), np.float64(180.5), np.float64(684.71), np.float64(220.11)]"
4101,"[np.float64(572.23), np.float64(187.4), np.float64(621.31), np.float64(227.37)]"
4101,"[np.float64(506.25), np.float64(185.77), np.float64(554.91), np.float64(218.54)]"
4101,"[np.float64(2.51), np.float64(186.47), np.float64(185.85), np.float64(264.51)]"
2732,"[np.float64(79.32), np.float64(199.43), np.float64(182.17), np.float64(240.6)]"
2732,"[np.float64(2.68), np.float64(198.18), np.float64(119.27), np.float64(242.24)]"
5236,"[np.float64(794.55), np.float64(184.06), np.float64(930.64), np.float64(237.17)]"
6031,"[np.float64(452.29), np.float64(182.0), np.float64(540.36), np.float64(252.67)]"
6031,"[np.float64(684.97), np.float64(185.87), np.float64(811.81), np.float64(279.87)]"
6031,"[np.float64(531.09), np.float64(182.78), np.float64(568.76), np.float64(216.72)]"
6031,"[np.float64(646.95), np.float64(178.9), np.float64(689.59), np.float64(216.34)]"
5272,"[np.float64(184.0), np.float64(178.98), np.float64(251.12), np.float64(211.39)]"
5272,"[np.float64(241.22), np.float64(177.49), np.float64(305.85), np.float64(206.14)]"
5272,"[np.float64(526.12), np.float64(179.19), np.float64(560.84), np.float64(204.83)]"
5272,"[np.float64(418.07), np.float64(169.61), np.float64(510.57), np.float64(242.03)]"
5272,"[np.float64(588.52), np.float64(174.48), np.float64(626.47), np.float64(212.28)]"
