label,truncated,occluded,alpha,left-top-x,left-top-y,right-bottom-x,right-bottom-y,height,width,length,x,y,z,rotation_y,image
Car,0.52,1,-2.47,0.0,196.96,178.8,317.43,1.49,1.64,3.7,-8.41,1.87,10.06,3.13,5766
Car,0.0,3,-2.61,0.0,190.23,285.3,286.53,1.52,1.55,4.02,-8.13,1.86,12.72,3.12,5766
Car,0.0,1,-2.8,295.56,174.11,439.83,233.84,1.9,1.78,4.25,-8.13,1.97,24.33,-3.12,5766
Car,0.0,0,0.17,447.89,180.92,515.04,207.72,1.52,1.64,3.7,-7.63,2.02,42.92,-0.01,5766
Car,0.0,0,2.01,255.95,185.86,324.06,220.03,1.67,1.87,3.69,-16.83,2.38,38.08,1.6,1281
Car,0.0,0,1.74,482.7,176.65,504.86,191.63,1.63,1.78,4.13,-13.1,2.08,81.52,1.58,1281
Car,0.99,0,2.37,0.0,228.65,196.4,374.0,1.5,1.53,3.38,-3.37,1.84,2.82,1.54,5293
Car,0.0,0,1.94,198.22,192.8,431.05,343.15,1.52,1.54,3.56,-3.62,1.81,9.41,1.58,5293
Car,0.0,0,1.85,418.82,180.28,534.24,260.04,1.56,1.56,3.6,-2.87,1.73,16.01,1.67,5293
Car,0.0,1,-0.15,587.69,189.71,668.48,218.13,1.45,1.6,4.23,0.94,2.41,39.67,-0.13,2669
Car,0.0,0,1.91,346.96,184.98,444.46,241.36,1.48,1.61,3.61,-6.22,1.86,21.2,1.63,4828
Car,0.0,0,-2.31,652.81,170.92,700.63,191.6,1.54,1.63,3.67,5.12,1.43,55.87,-2.22,4828
Car,0.0,0,1.83,535.85,178.42,569.46,200.23,1.56,1.59,3.69,-4.26,1.98,53.8,1.75,4828
Car,0.0,0,-1.6,682.41,165.91,703.73,185.23,1.58,1.67,3.84,7.06,1.04,61.68,-1.49,4828
Car,0.0,0,0.32,429.86,175.69,656.81,263.79,1.57,1.65,4.09,-1.29,1.65,14.08,0.23,414
Car,0.0,0,1.89,279.8,187.2,457.86,290.93,1.42,1.75,3.45,-3.83,1.68,11.93,1.58,446
Car,0.0,0,1.57,592.62,182.34,613.53,201.15,1.41,1.59,4.47,-0.58,2.18,57.55,1.56,6101
Car,0.0,0,-1.8,666.47,173.35,697.67,192.91,1.62,1.72,4.35,6.2,1.7,62.64,-1.7,3729
Car,0.56,0,-2.17,917.28,194.65,1241.0,374.0,1.42,1.45,3.2,3.86,1.63,5.74,-1.6,3729
Car,0.0,0,-1.56,577.73,172.48,652.76,240.82,1.6,1.76,3.84,0.17,1.3,18.91,-1.55,1013
Car,0.63,3,-0.88,0.0,192.74,145.76,323.73,1.49,1.66,3.37,-8.03,1.63,9.42,-1.57,1013
Car,0.33,0,-1.08,0.0,181.06,374.21,375.0,1.63,1.67,3.92,-3.73,1.6,6.78,-1.57,1013
